PreferedOrderCat,Complain,用户数,流失人数,流失率,平均订单数,平均返现,样本提示
Mobile Phone,1,610,328,0.5377049180327869,2.2442622950819673,140.1769180327869,可观察
Fashion,1,242,52,0.21487603305785125,3.65702479338843,212.00801652892562,可观察
Laptop & Accessory,1,558,104,0.1863799283154122,2.7007168458781363,167.81100358422938,可观察
Others,1,68,12,0.17647058823529413,4.5588235294117645,305.14941176470586,可观察
Mobile Phone,0,1470,242,0.16462585034013605,2.157142857142857,140.20502040816328,可观察
Fashion,0,584,76,0.13013698630136986,3.952054794520548,209.75212328767125,可观察
Grocery,1,126,12,0.09523809523809523,4.158730158730159,262.9271428571429,可观察
Laptop & Accessory,0,1492,106,0.07104557640750671,2.7908847184986594,166.9967694369973,可观察
Others,0,196,8,0.04081632653061224,5.489795918367347,304.34999999999997,可观察
Grocery,0,284,8,0.028169014084507043,4.792253521126761,267.6967605633803,可观察
